French,English
Objet Rac,Rac Item
Définition de RAC,Rac Definition
Catégorie Rac,Rac Category
Niveau,Tier
Objet Rac,Rac Item
Option Rac,Rac Option
Définition de RAC,RAC Definition
Définissez RAC par,Define RAC by
-- Sélectionnez la Classe de Produit--,-- Select Product Class--
Carte de crédit,Credit Card
Classe de Produit,Product Class
Produit,Product
Catégorie Rac,Rac Category
Type de Catégorie Rac,Rac Category Type
-- Sélectionnez le Type de catégorie --,-- Select Category Type --
Objet Rac,Rac Item
Type d'entrée Rac,Rac Input Type
-- Sélectionnez le Type d'entrée --,-- Select Input Type --
Option Rac,Rac Option
Fonction définie,Defined Function
-- Sélectionnez la fonction Définie --,-- Select Defined Function --
Option de Contrôle,Control Option
-- Sélectionnez l'Opérateur de Condition --,-- Select Condition Operator --
Opérateur Conditionnel,Conditional Operator
Opération,Operation
Contrôle De Montant,Control Amount
Base de Devises,Currency Base
Sélectionnez La Base de Devises,Select Currency Base
Local,Local
Étranger,Foreign
Personnalisé,Custom
Devise,Currency
-- Sélectionnez Le Type d'emploi --,-- Select Employment Type --
Employé,Employee
Travailleur indépendant,Self Employed
Type de client,Customer Type
Affichez Au Prélèvement,Show At Draw Down
Exiger le téléchargement,Require Upload
Est Active,Is Active
Nécessiter Un Commentaire,Require Comment
Est Nécessaire,Is Required
Catégorie Rac,Rac Category
Nom de la Catégorie,Category Name
Type de Catégorie Rac,Rac Category Type
Type de Catégorie,Category Type
Option Rac,Rac Option
Nom de l'option,Option Name
Élément d'option Rac,Rac Option Item
Étiquette,Label
Clé,Key
Est défini par le système,Is System Defined
Niveau de catégorie Rac,Rac Category Tier
Niveau de catégorie,Category Tier
Type de sous-catégorie,Sub Category Type
Élément d'option Rac,Rac Option Item
Option,Option
Rechercher Un Élément RAC,Search For RAC Item
Flux De Travail De Changement,Work Flow Change
réservé,PlaceHolder
URL de destination,Destination Url
Sautez le flux,Skip Flow
Flux De Travail De Changement,Work Flow Change
Lie par,Map By
--- Sélectionnez l'opération ---,--- Select Operation ---
Étiquette de Champ,Field Label
Sautez le flux de travail,Skip WorkFlow
Le Téléchargement De Document,Document Upload
Ajoutez Une Nouvelle Catégorie de Document,Add New Document Category
Ajoutez Un Nouveau Type De Document,Add New Document Type
,Document Category Id Item
Signataire autorisé,Authourised Signatory
Nom du Signataire,Signatory Name
Initiales du signataire,Signatory Initials
Titre du signataire,Signatory Title
Signataire,Signatory
Recherchez la génération de lettre,Letter Generation Search
Génération de lettres,Letter Generation
Génération de lettres,Letter Generation
Application de Recherche,Search Application
Numéro de Référence / Nom du Client,Reference Number / Customer Name
Propriétaire d'Entreprise,Business Owner
Méthode de liaison,Binding Method
Type de Modèle,Template Type
E-mail du groupe de configuration,Setup Group Email
--- Sélectionnez le Type de modèle ---,--- Select Template Type ---
COURRIEL,EMAIL
SMS,SMS
E-mail par défaut,Default Email
Email De L'Expéditeur,Sender Email
Méthode de liaison,Binding Mehtod
,Meeting Date
,Provide Holder
,Due Date
,Account Officer Name
CONFIGURATION DES EMAILS DU GROUPE DU PERSONNEL D'ALERTE,ALERT STAFF GROUP EMAIL SETUP
Groupe E-Mail,Group Email
--- Sélectionnez le Code de groupe ---,--- Select Group Code ---
Code de Groupe d'email,Email Group Code
Nom du Groupe d'email,Email Group Name
CONFIGURATION DU GROUPE DE NIVEAU,LEVEL GROUP SETUP
Nom du Groupe de Niveau,Level Group Name
La Liaison de Groupe / Niveau,Group/Level Mapping
Configuration,Setup
LA LIAISON DES GROUPES DE NIVEAUX,LEVEL GROUP MAPPING
Code de niveau,Level Code
--- Sélectionnez le Code de niveau ---,--- Select Level Code ---
CONFIGURATION FINALE,FINAL SETUP
--- Sélectionnez Alerte Titre ---,--- Select Alert Title ---
--- Sélectionnez le Groupe de niveau ---,--- Select Level Group ---
--- Sélectionnez la fréquence ---,--- Select Frequency ---
--- Sélectionnez Condition ---,--- Select Condition ---
Nom de l'Opération,Operation Name
Formular,Formular
CONFIGURATION DES CONDITIONS,CONDITIONS SETUP
Source de déclenchement,Trigger Source
Action Pour Le Déclencheur,Action For Trigger
Formule,Formula
Opérations,Operations
--- Sélectionnez l'opération---,--- Select Operation---
Alerte Intervalle,Alert Interval
Date de la Dernière Exécution,Last Run Date
Date de la Prochaine Exécution,Next Run Date
Configuration d'Identification de Prêt Vert,Green Loan Identification Setup
Supprimez,Delete
Définition d'Identification de Prêt Vert,Green Loan Identification Definition
,Define the Grade For &apos;Yes&apos;
Supprimez,Delete
Configurations d'Approbation,Approval Setups
Ajoutez une Configuration d'approbation,Add Approval Setup
Activez Rond Robin,Enable Round Rublin
Est Spécifique au Commerce De Détail,Is Retail Specific
Utilisez Rond Rublin,Use Round Rublin
Ordre de Page de Flux Opérationnel,Operational Flow Page Order
Ajoutez une Page de Flux Opérationnel,Add Operational Flow Page
Requis De L'Évaluation,Required Appraisal
Lettre d'Offre Requise,Required Offer Letter
Disponibilité requise,Required Availment
Marquez,Tag
-- Sélectionnez l'opération--,--Select Operation--
Configuration de l'Archive de Données,Data Archive Setup
Autorisez l'Archive Périodique,Allow Periodic Archive
Déclencheur d'archive,Archive Trigger
Sélectionnez Déclencheur,Select Trigger
Automatique,Automatic
Manuel,Manual
Période,Period
Sélectionnez une période,Select Period
Quotidien,Daily
Hebdomadaire,Weekly
Trimestriel,Quarterly
Annuel,Yearly
Archivez tous les Prêts Utilisés,Archive all Utilised Loans
Archivez un seul lot de Prêts utilisés,Archive a single batch of Utilised Loans
Autorisez l'Archive Manuel,Allow Manual Archive
Archiver les transactions par lots (prêts entièrement utilisés),Archive batch transactions (fully Utilised Loans)
Le Temps De Traitement,Processing Time
Archive de Données Manuel,Manual Data Archive
Archive de Données Manuel,Manual Data Archive
Tous les prêts entièrement utilisés seront Archivés,All fully Utilised Loans will be Archived
Les prêts d'archives par lots seront traités,Batch Archive Loans will be processed
Les Critères Du Projet,Project Criteria
Niveau 1,Tier 1
Niveau 2,Tier 2
Niveau 3,Tier 3
Modifiez,Edit
Modifiez,Edit
Catégorie de Projet,Project Category
Sélectionnez une catégorie,Select Category
Ajoutez un nouveau Cron,Add New Cron
Heure de Début,Start Time
Heure de Fin,End Time
Configuration du travail Cron,Cron Job Setup
Sélectionnez le Type de fréquence,Select Frequency Type
Recherche De Prêt,Search For Loan
Numéro de Référence du Prêt,Loan Reference No
Montant de principal du prêt,Loan Principal Amount
Les Utilisateurs De L'Application,Application Users
L'État Du Compte,Account Status
Nouvel Utilisateur,New User
Nom du personnel,Staff Name
Sélectionnez le personnel,Select Staff
Nom d'utilisateur,Username
Mot de passe,Password
Confirmez Le mot de passe,Confirm Password
La Question Secrète,Secret Question
La Réponse Secrète,Secret Answer
Profil De L'Utilisateur,User Profile
Les Groupes D'Utilisateurs,User Groups
Groupes d'Applications,Application Groups
Les Groupes D'Activités,Groups Activities
Lie l'activité,Map Activity
Gérez l'Accès,Manage Access
Gérez l'Accès au Groupe,Manage Group Access
Nom de groupe,Group Name
Nom de l'Activité,Activity Name
Les Droits D'Accès,Access Rights
Pouvez Supprimer,Can Delete
Peut Afficher,Can View
Ajoutez Une Activité Au Groupe,Add Activity To Group
Nom de groupe,Group Name
Sélectionnez un groupe,Select Group
Liste du personnel,Staff List
L'Effondrement De Téléchargement,Collapse Upload
Téléchargement en masse,Bulk Upload
Téléchargez le personnel,Upload Staff
Code de Rôle,Role Code
Rôle De L'Utilisateur,User Role
Supprimez,Delete
Modifiez Les Autres Informations,Edit Other Information
Le CHAMP 1,FIELD 1
Le CHAMP 2,FIELD 2
Le CHAMP 3,FIELD 3
CHAMP 4,FIELD 4
La zone 5,FIELD 5
CHAMP 6,FIELD 6
CHAMP 7,FIELD 7
CHAMP 8,FIELD 8
CHAMP 9,FIELD 9
CHAMP 10,FIELD 10
Ajoutez Un Nouveau Personnel,Add New Staff
Sélectionnez une succursale,Select Branch
Obtenez Les Détails,Get  Details
Code MIS,MIS Code
L'Unité D'Affaires,Business Unit
Sélectionnez Sexe,Select Gender
Homme,Male
Femme,Female
Sélectionnez le rôle du Personnel,Select Staff Role
Le Niveau De Sensibilité,Sensitivity Level
Sélectionnez le Niveau,Select Level
Sélectionnez l'État,Select State
Sélectionnez La Ville--,--Select City--
Téléphone,Phone
Reprenez le travail (24 heures),Resume Work(24hrs)
Fermez le travail (24 heures),Close Work (24hrs)
Informations sur le personnel,Staff Info
Sélectionnez Une Relation,Select Relationship
Fils,Son
Fille,Daughter
Épouse,Wife
Père,Father
,SUPERVISOR&apos;S NAME:
Attribuez un superviseur,Assign Supervisor
Changez le superviseur,Change  Supervisor
Annulez l'attribution du superviseur,Unassign Supervisor
Nom du personnel,Staff Name
Nom d'utilisateur,Username
Changez le mot de passe?,Change Password?
Mot de passe,Password
Confirmez Le mot de passe,Confirm Password
Changez La Question de Sécurité?,Change Security Question?
La Question Secrète,Secret Question
La Réponse Secrète,Secret Answer
Groupe d'Utilisateurs Supplémentaires,Additional User Group
Nom de l'Activité,Activity Name
Modifiez les activités,Edit Activities
Affichez Les Activités Actives,View Active Activities
Nom d'utilisateur :,Username :
Unité d'équipe:,Team Unit :
Cent de coût:,Cost Cent :
Département :,Department :
Région :,Region :
Groupe :,Group :
Direction :,Directorate :
Code du personnel:,Staff Code :
Nom du personnel:,Staff Name :
La Succursale du Personnel:,Staff Branch :
Courriel du personnel:,Staff Email :
Ligne de rapport du personnel,Staff Reporting Line
Authentification utilisateur Active Directory,Active Directory User Authentication
Mot de passe Active Directory,Active Directory Password
Activité,Activities
Activité,Activities
expirer à,Expiring On
Taux de Change,Exchange Rate
Devise de Base,Base Currency
Journal du Personnel Supprimé,Deleted Staff Log
Personnel Supprimé,Deleted Staff
Code Personnel Supprimé,Deleted Staff Code
Supprimé Par Code Personnel,Deleted By Staff Code
Date Supprimée,Date Deleted
Journal du Personnel Dormant,Dormant Staff Log
Date de Dernière Connexion,Last Login Date
La piste de vérification,Audit Trail
Action De L'Audit,Audit Action
Action par,Action by
Enregistré Dans Le Nom D'Utilisateur,Logged In Username
Action en détail,Action in Detail
Gestion des Signatures du Personnel,Staff Signature Management
Ajoutez nouveau,Add New
Téléchargez la Signature,Upload Signature
Sélectionnez la Signature du Personnel Scannée,Select Scanned Staff Signature
Sélectionnez le fichier image à télécharger,Select image file to upload
Gestion des Comptes Utilisateur,User Account Management
Dernière Connexion,Last Login
Statut Actif,Active Status
Statut Verrouillé,Locked Status
Liste des Paramètres de Profil,Profile Settings List
Longueur Minimale Requise Du Mot De Passe,Minimum Required Password Length
Caractères alphanumériques minimum requis,Minimum Required Alpha Numerical Char
Nombre Maximal De Tentatives De Mot De Passe Valides,Maximum Valid Password Attempts
Expire le mot de passe après (jours),Expire Password After (Days)
Expiration de la session,Session Timeout
Requiert une question et une réponse,Requires Question and Answer
Date de Fin,End Date
Paramètre de Recherche,Search Parameter
URL de l'API,API Url
Date-heure de la demande,Request Date-Time
Date-heure de la réponse,Response Date-Time
Date de début,Start Date
Tout Xml,All Xml
Apend EndPoint,Apend EndPoint
Message d'Erreur,Error Message
Source De L'Erreur,Error Source
Code de Statut,Status Code
Paramètre de Recherche,Search Parameter
N'Importe Quel Paramètre,Any Parameter
N'Importe Quel Paramètre,Any Parameter
SID,SID
L'ID DU LOT,BATCH ID
ID DE RÉFÉRENCE DU LOT,BATCH REF ID
TRAN_TYPE,TRAN_TYPE
AMT,AMT
DR_ACCT,DR_ACCT
CR_ACCT,CR_ACCT
REF_CRNCY_CODE,REF_CRNCY_CODE
RATE_CODE,RATE_CODE
TAUX,RATE
NARRATION,NARRATION
STATUT,STATUS
TRAN_ID,TRAN_ID
PSTD_FLG,PSTD_FLG
PSTD_DATE,PSTD_DATE
RCRE_DATE,RCRE_DATE
PSTD_USR_ID,PSTD_USR_ID
FAIL_FLG,FAIL_FLG
FAILURE_REASON_CODE,FAILURE_REASON_CODE
FAILURE_REASON,FAILURE_REASON
AMT_COLLECTED,AMT_COLLECTED
LIEN_AMT,LIEN_AMT
LIEN_FLG,LIEN_FLG
TOD_FLG,TOD_FLG
VALUE_DATE_NUM,VALUE_DATE_NUM
LOAN_ACCT,LOAN_ACCT
FINTRAK_FLG,FINTRAK_FLG
BANK_ID,BANK_ID
Détail de la Comptabilité d'exercice Quotidienne,Daily Accrual Detail
Détails de la publication par lots,Batch Posting Details
Date de début,Start Date
Date de Fin,End Date
Paramètre de Recherche,Search Parameter
L'ID du lot,Batch ID
BATCH_ID,BATCH_ID
RCRE_USER,RCRE_USER
TOTAL_AMT,TOTAL_AMT
REC_COUNT,REC_COUNT
DEL_FLG,DEL_FLG
EST_SÉLECTIONNÉ,IS_SELECTED
TOTAL_AMT_COLLECTED,TOTAL_AMT_COLLECTED
Publication de lots principale,Batch Posting Main
Date de début,Start Date
Actualisez la surveillance de Mise en scène,Refresh Staging Monitoring
ID de détail d'APPLICATION,Application Detail ID
Nom De L'échéancier,Schedule Name
Nom De Schéma,Scheme Name
Code de Schéma,Scheme Code
Date Crée,Created Date
Nom de l'application / du Client,Application/Customer Name
Référence de l'Application,Application Reference
Ligne de Crédit,Facility Line
Sélectionnez la Ligne de Crédit,-- Select Facility Line --
Nom De Schéma,Scheme Name
Nom de schéma,Scheme name
Le Crédit,Facility
Sélectionnez Le Crédit,--- Select Facility ---
Indice des Prix des Produits,Product Price Index
Ténor,Tenor
L'échéancier,Schedule
Sélectionnez L'échéancier,--- Select Schedule ---
Taux D'Intérêt,Interest Rate
Méthode de la comptabilité d'exercice,Accurual Basis
,Interest Frequencyuency
Devise,Currency
Montant Approuvé du Prêt,Loan Approved Amount
Recherche Schéma,Search Scheme
Schéma/Code de Recherche,Search Scheme/Code
Mettre à jour,Update
l'évaluation de risque de l'agent de crédit,Credit Officer Risk Rating
Recherche d'agent de crédit,Credit Officer Search
Périodes d'évaluation,Ratings Periods
L'Agent De Crédit,Credit Officer
Score CORR,CORR Score
Commentaire CORR,CORR Comment
Paramètre d'évaluation,Assessment Parameter
Détail de l'évaluation de risque de l'agent de crédit,Credit Officer Risk Rating Detail
NOM DE L'AGENT DE CRÉDIT:,CREDIT OFFICER NAME:
NOTE D'ÉVALUATION:,RATING SCORE:
ÉVALUATION DES RISQUES:,RISK RATING:
INDICATEUR ESSENTIEL,KEY INDICATOR
NOTE,SCORE
SCORE DE L'INDICATEUR CLÉ,KEY INDICATOR SCORE
ÉVALUATION DE PARAMÈTRE,ASSESSMENT PARAMETER
SCORE DES PARAMÈTRES D'ÉVALUATION,ASSESSMENT PARAMETER SCORE
Périodes de Évaluation CORR,CORR Rating Periods
Début Nominale,Start Rated
Fin Nominale,End Rated
Recherche d'agent de crédit,Credit Officer Search
Nom de l'agent de crédit,Credit Officer Name
La Documentation Du Crédit,Credit Documentation
L'Information De Base,Basic Information
Nom du Groupe de Clients,Customer Group Name
Type de Prêt,Type of Loan
Nom du Compte GL,GL Account Name
Numéro de Compte GL,GL Account Number
Agent de Relation,Relationship officer
Prêt de Code MIS de l'Équipe,Team MIS Code Loan
Profil De Prêt,Profile Loan
Niveau de Sensibilité du Client,Customer Sensitivity Level
L'Information De Base,Basic Information
Information conditionnelle,Contingent Information
Numéro de référence du Crédit:,Facility Reference No:
Nom du produit,product Name
Montant Éventuel,Contingent Amount
Date d'approbation,Date Approved
Modifications Apportées Pour,Changes Made For
Nouvelle Date D'Entrée En Vigueur,New Effective Date
Nouvelle Date d'Échéance,New Maturity Date
Les Détails De L'Opération,Operation Details
Montant réduit,Reduced Amount
Montant ajouté,Added Amount
Aperçu Montant Modifié,Preview Amount Ammended
Montant modifié,Ammended Amount
Information conditionnelle,Contingent Information
Informations d'approbation,Approval Information
Réservé Sur,Booked On
Réservé Par,Booked By
Date du premier versement des intérêts,First Interest Payment Date
Date du premier versement du principal,First Principal PaymentDate
Type de fréquence principale,Principal Frequency Type
,Interest Frequency Type
Montant intégral des frais,Integral Fee Amount
Date de Prépaiement Prévue,Scheduled Prepayment Date
Intérêts sur les intérêts en souffrance,Interesrt On Past Due Interest
Intérêt accru,Accrued Interest
Encours total,Total Oustanding
Les Nouveaux Taux D'Intérêt,New Interest Rate
Prépaiements,Prepayment
Ancienne date de premier versement du principal,Old Principal First Payment Date
Ancienne date de premier versement des intérêts,Old Interest First Payment Date
Nouvelle date de premier versement du principal,New Principal First Payment Date
Nouvelle date de premier versement des intérêts,New Interest First Payment Date
Nouveau Ténor,New Tenor
Ancien Compte,Old Account
Nouveau Compte,New Account
,Interest Frequencyuency
Date de premier versement des intérêts,Interest First Payment Date
Fréquence d'intérêt,Interest Frquency
Date du premier versement du principal,Principal First Payment Date
Type De Planification,Schedule Type
Saisissez,Type
Limite,Limit
Nouveau Montant des Frais,New Fee Amount
Informations d'approbation,Approval Information
Les Documents Joints,Attached Documents
Pièces jointes,Attachments
Frais,Fees
Compte CASA,CASA Account
Frais manuels,Manual Fees
Aperçu LMS,LMS Preview
Aperçu LOS,LOS Preview
Détails de Contrat,Covenant Details
Détails des frais,Fees Details
Détails de la garantie,Collateral Details
Détails De L'échancier,Schedule Details
Taux D'Intérêt,Interest  Rate
Taux D'Intérêt Effectif,Effective  Interest Rate
Détails De L'échancier,Schedule Details
Documents justificatifs,Supporting Documents
Date de lancement,Date Initiated
Réglementation CRMS,CRMS Regulatory
Fermez,Close
Documentation d'évaluation pour RÉFÉRENCE:,Appraisal Documentation for REFERENCE:
de DÉBITEUR:,of OBLIGOR:
Attribuez Le Recouvrement Des Prêts Aux Agents,Assign Loans Recovery To Agents
Recherchez Un Agent,Search For Agent
Choisissez un agent,Pick an Agent
Date D'achèvement Prévue,Expected Completion Date
Jours impayés en retard,Unpaid Days Overdue
Solde Impayé Total,Total Outstanding Balance
Prêt Applications De Recouvrement,Loan Recovery Applications
Identification de Référence,Reference Id
Nombre de prêts,Number of Loans
Action,Action
Allez Pour L'Approbation,Go For Approval
Liste des Applications de Recouvrement,Recovery Applications List
Affichez Les Prêts,View Loans
État des Applications de Recouvrement,Recovery Applications Status
Date d'entrée en vigueur de Crédit,Facility Effective Date
Date D'Échéance Du Crédit,Facility Maturity Date
Date D'achèvement Prévue,Expected Completion Date
Recouvrement de Prêts,Recovery Loans
Commentaires sur l'approbation du Recouvrement,Recovery Approval Comments
Recherchez Un Agent,Search For Agent
Saisissez L'Encaissement de Recouvrement de Prêts,Capture Loans Recovery Receipt
Saisissez le Reçu,Capture Receipt
Prêts de Récupération Disponibles,Available Recovery Loans
Rapport sur les Prêts Recouvrés,Recovered Loans Report
Date de Réception,Receipt Date
Montant Récupéré,Recovered Amount
Commission De L'Agent %,Agent % Commission
Commission De L'Agent,Agent Commission
La Réception De Nom,Receipt Name
Rapport sur les Prêts Recouvrés,Recovered Loans Report
Recherchez Un Agent,Search For Agent
nom de l'État,state Name
Garantie(s),Collateral(s)
Garantie(s),Collateral(s)
Formulaire de Recouvrement de Prêt,Loan Recovery Form
Le Mode de Collecte,Mode of Collection
Sélectionnez le Mode de Collecte,Select Collection Mode
Chèque,Cheque
Transfert Direct,Direct Transfer
Montant Recouvré,Amount Recovered
Code de garantie,Collateral Code
Téléchargez le reçu,Upload Receipt
Commission de pourcentage d'agence (%),Agency Percentage Commission(%)
Date de Récupération,Recovery Date
Réaffectation de recouvrement de prêt,Loan Recovery Re-Assignment
Date D'achèvement Prévue,Expected Completion Date
Agent précédent,Previous Agent
Recherchez Un Agent,Search For Agent
Agences De Recouvrement De Créances,Debt Collection Agencies
Cabinet de Consultants,Consultant Firm
Adresse,Adress
Débiteur Lié,Related Obligor
Applications,Applications
- Les résultats de la recherche pour,- Search results for
Mondial,Global
Individu,Individual
Le personnel,Staff
Approbation du Personnel,Staff Approval
Déléguez,Delegate
Sélectionnez le statut d'approbation,--- Select Approval Status ---
Approuvez Les plusieurs Détails Du Personnel,Approve Multiple Staff Details
Supprimez l'approbation du Personnel,Delete Staff Approval
Approbation de suppression du personnel,Staff Delete Approval
Journal des Traces d'Approbation,Approval Trail Log
Produits,Products
Groupe de Produits,Product Group
Approbation du Produit,Product Approval
Écart de l'indice des prix,Price Index Spread
Type de transaction,Deal Type
Classification des Transactions,Deal Classification
Solde Principal GL,Principal Balance GL
Intérêts revenus / dépenses GL,Interest Income/Expense GL
Intérêts à recevoir / à payer GL,Interest Recievable/Payable GL
GL dormant,Dormant GL
L'actualisation de Prime GL,Premium Discount GL
Nombre De Jours,Day Count
Limite de garantie LCY,Collateral LCY Limit
Limite de garantie FCY,Collateral FCY Limit
Limite client,Customer Limit
Limite de facture,Invoice Limit
n/a,n/a
Est-elle basée sur La facture?,Is Invoice Based?
Type de Comportement du Produit,Product Behaviour Type
Autorisez le Débit Forcé du Compte,Allow Account Force Debit
Autorisez le remplacement du type d'échéancier,Allow Schedule Type Override
Autorisez le remplacement du ténor,Allow Tenor Override
Autorisez le remplacement du taux,Allow Rate Override
Période de nettoyage,Clean Up Period
Période de grâce par défaut,Default Grace Period
Information sur le produit,Product Info
Frais De Cible,Fee Target
Compte Gl,Gl Account
Code de Compte Gl,Gl Account Code
Valeur du taux,Rate Value
Montant à charge,Dependent Amount
Frais de produit,Product Fees
Garantie de produit,Product Collateral
Plan comptable,Chart of Accounts
Approbation du Plan comptable,Chart of Account Approval
Classe GL,GL Class
Informations sur le plan de compte,Chart of Account Info
Utilisateurs,Users
Entreprise,Company
Approbation de l'Utilisateur,User Approval
Informations Sur le Compte Utilisateur,User Account Info
La liaison des Groupe de Client,Customer Group Mapping
Client,Customer
Approbation du Groupe de Clients,Customer Group Approval
Informations sur le Groupe de Clients,Customer Group Info
Groupes de client,Customer Groups
Approbation Préliminaire de l'Évaluation:,Preliminary Evaluation Approval:
Retournez,Go back
Clients Au Sein Du Groupe,Customers Within Group
Le Rôle de la banque,Bank’s Role
BVN de signataires,Signatory BVNs
Les Meilleurs Clients,Top Clients
Meilleurs fournisseurs,Top Suppliers
Fournir Une Recommandation,Provide Recommendation
La Décision D'Approbation,Approval Decision
Prêt Restructuré En Attente D'Approbation,Restructured Loan Awaiting Approval
Date effective,Effictive Date
Le Statut D'Approbation De,Approval Status
Rebook Montant,Rebook Amount
Aperçu Montant Modifié,Preview Amount Ammended
Les Documents Joints,Attached Documents
Aperçu,Preview
Générez la lettre d'offre originale,Generate Original Offer Letter
FAM,FAM
Détails de Contrat,Covenant Details
Détails des frais,Fees Details
Source,Source
Détails de la garantie,Collateral Details
Détails De L'échancier,Schedule Details
Taux D'Intérêt,Interest Rate
Taux D'Intérêt Effectif,Effective Interest Rate
Date d'Échéance,Maturity Date
Type De Planification,Schedule Type
Documents justificatifs,Supporting Documents
- Sélectionnez Statut -,-- Select Status --
Commentaire / Recommandation,Comment/Recommendation
-- Sélectionnez Décision --,-- Select Decision --
Non avec condition,No with condition
"Oui, avec la condition",Yes with condition
Rechercher un prêt restructuré en attente d'approbation,Search Restructured Loan Awaiting Approval
Référence du Prêt / Nom du Client / Code du Client,Loan Reference/Customer Name/Customer Code
Approbation de la libération de Crédit éventuel,Contigent Facility Release Approval
Crédit éventuel,Contingent Facility
Nom du Client,Customer Name
Montant Éventuel,Contingent Amount
Qualité d'investissement?,Investment Grade?
Montant décaissable,Disbursable Amount
Statut du prêt,Loan status
Déclencheur de surveillance de prêt,Loan Monitoring Trigger
Documents justificatifs,Supporting Documents
Un Intérêt Exceptionnel,Outstanding Interest
Intérêts Sur Le Capital En Souffrance,Interest On Past Due Principal
Intérêts sur les intérêts en souffrance,Interesrt On Past Due Interest
Code CRMS,CRMS Code
Date CRMS,CRMS Date
Tranches Du Crédit,Facility Tranches
Frais De Prêt Différé En Attente D'Approbation,Deferred Loan Fee Awaiting Approval
Montant du Prêt,Loan Amount
Numéro de Compte du Produit,Product Account Number
Nom du Compte du Produit,Product Account Name
Secteur / sous-secteur,Sector/SubSector
Informations sur l'échancier,Schedule Information
Approbations de Libération de Garantie,Collateral Release Approvals
Publié,Released
Rejeté,Rejected
Libération de garantie,Collateral Release
Code de garantie:,Collateral Code:
Heure de création:,Time Created:
Permettez Le Partage:,Allow Sharing:
Est Sorti:,Is Released:
Coupe De Cheveux:,Hair Cut:
Est Basé Sur La Localisation:,Is Location Based:
Fréquence des Paiements d'Intérêts,Interest Payment  Frequency
Latitude,Latitude
Longitude,Longitude
Affichez la Carte,View Map
Prénom,First  Name
Téléchargement de Documents Supplémentaires,Additional Document Uploads
Renvoyez,Refer Back
Téléchargement de Documents de nouvelle libération,New Release Document Upload
Exploitation De La Ligne En Attente d'Approbation,Line Operation Awaiting Approval
Seul,Single
Détails de la Ligne du Crédit,Facility Line Details
Le Crédit,Facility
La Limite Approuvée,Approved Limit
Ténor ligne,Line Tenor
Date d'expiration,Expiry Date
Opération effectuée: Changement de ténor,Operation Performed: Tenor Change
Ténor ajouté (jours),Added Tenor (days)
Nouvelle Date d'Expiration,New Expiry Date
Nouveau Ténor Gauche (jours),New Tenor Left (days)
Ténor total (jours),Total Tenor (days)
Opération Effectuée: Variation des Taux d'Intérêt,Operation Performed: Interest Rate Change
Sous-Allocation principale,Principal Sub-Allocation
Exécution Du Prêt Commercial Pour Sous-Allocation,Running Commercial Loan For Sub-Allocation
Nouveau principale,New Principal
Tous Les Principaux de Prêts Sélectionnés:,All Selected Loan Principal:
Somme principale de sous-allocation:,Sub Allocation Principal Sum:
Somme principale de sous-allocation:,Sub Allocation Principal Sum:
Ajustez le Principal Sélectionné,Adjust Selected Principal
Sous Allouer,Sub Allocate
Opération effectuée: Modification du Montant de l'Installation de ligne,Operation Performed: Line Facility Amount Change
Montant de la Nouvelle Ligne,New Line Amount
Détails de Crédit,Facility Details
Frais,Fees
Documents justificatifs,Supporting Documents
Approuvez le Fonctionnement de la Ligne,Approve Line Operation
Opération D'Examen Des Prêts Commerciaux En Attente D'Approbation,Commercial Loan Review Operation Awaiting Approval
Numéro de référence du prêt,Loan Ref No
,Customer&apos;s Name
Détails de Crédit,Facility Details
Ténor restant,Tenor Left
Somme principale de sous-allocation:,Sub Allocation Principal Sum:
Tous Les Principaux de Prêts Sélectionnés:,All Selected Loan Principal:
Opération Effectuée: Rouler Sur,Operation Performed: Roll Over
Ténor (jours),Tenor (days)
Instruction,Instruction
Opération Effectuée: Retournement automatique,Operation Performed: Automatic Roll Over
Approbations de Réport / Renonciation,Defferal / Waiver Approvals
Document différé,Deferred Document
État de la Liste de contrôle,Checklist Status
LMS,LMS
Affichez,View
Élément de La Liste De Contrôle En Attente d'approbation,Checklist Item Awaiting Approval
Mémo de report,Deferral Memo
Imprimer,Print
Mémo de report,Deferral Memo
Date de report,Deferral Date
Date reportée / renoncié:,Date Deferred/Waived:
Détails et approbation,Details and Approval
Recommedation,Recommedation
renvoyez,refer Back
Mémo de report / renonciation,Deferral/Waiver Memo
Demande de Dérogation En Attente D'Approbation,Override Request Awaiting Approval
Client BVN,Customer BVN
Remplacer la Demande,Override Request
Demandé par,Request By
Date de la demande,Request Date
Approbation de la liste de contrôle,Checklist Approval
Remplacer la Demande,Override Request
Raison pour Remplacer,Reason for Override
Informations de Client En Attente D'Approbation,Customer Information Awaiting Approval
Code de Client,Customer Code
Type de modification,Modification Type
Modifié Par,Modified By
Date modifiée,Date Modified
Approbation des Informations de Client,Customer Information Approval
Informations modifiées,Modified Info
Informations Générales En Attente D'Approbation,General Information Awaiting Approval
Statut juridique du CRMS:,CRMS Legal Status:
Taille de l'Entreprise CRMS:,CRMS Company Size:
Type de Relation CRMS:,CRMS Relationship Type:
Informations sur l'entreprise en attente d'approbation,Corporate Information Awaiting Approval
Informations d'adresse en attente d'approbation,Address Information Awaiting Approval
Adresse de Contact,Contact Address
Le Gouvernement Local,Local Government
Coordonnées Téléphoniques En Attente D'Approbation,Phone Contact Information Awaiting Approval
Informations du directeur en attente d'approbation,Director Information Awaiting Approval
